User_ID,Age,Gender,Total_App_Usage_Hours,Daily_Screen_Time_Hours,Number_of_Apps_Used,Social_Media_Usage_Hours,Productivity_App_Usage_Hours,Gaming_App_Usage_Hours,Location,Overlap Indicator,range_age,Social Ratio,Gaming Ratio,Productivity Ratio,User Type
1,56,Male,2.61,7.15,24,4.43,0.55,2.4,Los Angeles,0,46+,1.697318008,0.91954023,0.210727969,Social User
2,46,Male,2.13,13.79,18,4.67,4.42,2.43,Chicago,0,46+,2.192488263,1.14084507,2.075117371,Social User
3,32,Female,7.28,4.5,11,4.58,1.71,2.83,Houston,1,26-35,0.629120879,0.388736264,0.23489011,Social User
4,25,Female,1.2,6.29,21,3.18,3.42,4.58,Phoenix,0,18-25,2.65,3.816666667,2.85,Gamer
5,38,Male,6.31,12.59,14,3.15,0.13,4,New York,0,36-45,0.499207607,0.633914422,0.020602219,Gamer
6,56,Female,3.31,1.04,21,2.02,3.45,2.26,Chicago,1,46+,0.610271903,0.682779456,1.042296073,Productivity User
7,36,Male,4.81,1.52,24,3.76,1.58,3.59,Los Angeles,1,36-45,0.781704782,0.746361746,0.328482328,Social User
8,40,Male,9.53,8.85,11,2.66,0.28,2.93,Chicago,1,36-45,0.279118573,0.307450157,0.029380902,Gamer
9,28,Male,11.35,12.8,9,3.39,3.05,2.46,Phoenix,0,26-35,0.298678414,0.216740088,0.268722467,Social User
10,28,Male,1.8,4.11,16,2.14,1.2,0.96,New York,0,26-35,1.188888889,0.533333333,0.666666667,Social User
11,41,Female,6.88,7.11,21,3.66,1.93,2.32,Chicago,0,36-45,0.531976744,0.337209302,0.280523256,Social User
12,53,Female,10.71,6.86,21,4.12,0.4,1.23,Phoenix,1,46+,0.384687208,0.114845938,0.037348273,Social User
13,57,Female,1.91,7.15,4,0.73,0.74,4.57,Los Angeles,0,46+,0.382198953,2.392670157,0.387434555,Gamer
14,41,Male,10.07,9.09,11,4.16,1.49,1.68,Houston,1,36-45,0.413108242,0.166832175,0.14796425,Social User
15,20,Male,4.94,7.11,15,2.7,0.45,4.76,Los Angeles,0,18-25,0.546558704,0.963562753,0.091093117,Gamer
16,39,Male,4.54,6.82,17,4.22,4.55,2.67,New York,0,36-45,0.929515419,0.588105727,1.002202643,Productivity User
17,19,Female,11.75,7.17,5,2.16,0.03,3.16,Los Angeles,1,18-25,0.183829787,0.26893617,0.002553191,Gamer
18,41,Male,3.21,8.68,13,1.9,2.42,2.71,Los Angeles,0,36-45,0.591900312,0.84423676,0.753894081,Gamer
19,47,Female,8.63,7.98,23,4.58,0.62,0.65,Los Angeles,1,46+,0.530706837,0.075318656,0.07184241,Social User
20,55,Female,10.04,12.1,16,1.26,1.54,1.88,Los Angeles,0,46+,0.125498008,0.187250996,0.153386454,Gamer
21,19,Female,1.45,1.64,27,4.22,4.63,0.5,New York,0,18-25,2.910344828,0.344827586,3.193103448,Productivity User
22,38,Female,8.37,11.83,10,2.42,0.81,3.11,Phoenix,0,36-45,0.289127838,0.371565114,0.096774194,Gamer
23,50,Female,11.47,11.97,20,2.57,4.83,2.23,Chicago,0,46+,0.224062772,0.194420227,0.421098518,Productivity User
24,29,Female,2.37,4.7,21,1.54,1.03,3.89,Houston,0,26-35,0.64978903,1.641350211,0.434599156,Gamer
25,39,Male,10.86,7.02,18,2.87,3.71,1.1,Chicago,1,36-45,0.26427256,0.101289134,0.341620626,Productivity User
26,42,Male,7.54,6.7,4,1.63,2.73,0.82,Chicago,1,36-45,0.216180371,0.108753316,0.362068966,Productivity User
27,44,Female,7.78,3.84,10,0.2,4.42,2.03,Houston,1,36-45,0.025706941,0.26092545,0.568123393,Productivity User
28,59,Female,7.74,6.16,24,1.36,2.77,4.63,New York,1,46+,0.175710594,0.598191214,0.357881137,Gamer
29,45,Male,4.29,1.58,8,0.03,2.67,3.55,Houston,1,36-45,0.006993007,0.827505828,0.622377622,Gamer
30,33,Female,11.29,4.61,14,4.89,0.98,2.09,New York,1,26-35,0.433126661,0.185119575,0.08680248,Social User
31,32,Female,11.42,11.62,17,4.83,0.83,2.59,Chicago,0,26-35,0.422942207,0.226795096,0.07267951,Social User
32,20,Male,7.88,4.7,27,1.98,4.58,0.42,New York,1,18-25,0.251269036,0.053299492,0.581218274,Productivity User
33,54,Female,9.62,11.64,10,3.64,1.64,4.92,Phoenix,0,46+,0.378378378,0.511434511,0.17047817,Gamer
34,24,Female,7.73,7.91,6,1.73,1.86,3.33,Houston,0,18-25,0.223803364,0.430789133,0.240620957,Gamer
35,38,Female,6.33,12.44,17,3.36,3.8,1.43,Phoenix,0,36-45,0.530805687,0.225908373,0.600315956,Productivity User
36,26,Male,8.27,8.47,22,4.03,1.69,2.93,Chicago,0,26-35,0.487303507,0.354292624,0.204353083,Social User
37,56,Male,7.08,1.39,27,4.73,4.76,0.55,Houston,1,46+,0.668079096,0.077683616,0.672316384,Productivity User
38,35,Male,7.57,9.78,19,2,3.69,4.83,Chicago,0,26-35,0.264200793,0.638044914,0.487450462,Gamer
39,21,Female,9.62,1.58,15,3.92,2.99,0.87,Phoenix,1,18-25,0.407484407,0.09043659,0.310810811,Social User
40,42,Female,6.29,6.86,20,1.33,4.4,3.24,Chicago,0,36-45,0.211446741,0.515103339,0.699523052,Productivity User
41,31,Male,1.45,13.08,4,4.95,0.25,1.23,Houston,0,26-35,3.413793103,0.848275862,0.172413793,Social User
42,26,Female,2.8,3.15,15,0.13,1.29,3.59,Houston,0,26-35,0.046428571,1.282142857,0.460714286,Gamer
43,43,Female,5.82,6.07,15,3.02,2.33,3.88,Chicago,0,36-45,0.518900344,0.666666667,0.400343643,Gamer
44,19,Female,8.97,10.49,24,3.3,1.13,3.37,Houston,0,18-25,0.367892977,0.375696767,0.125975474,Gamer
45,37,Female,7.53,12.47,17,3.44,3.72,3.07,Houston,0,36-45,0.456839309,0.407702523,0.494023904,Productivity User
46,45,Female,8.15,9.72,22,0.6,4.6,4.46,Chicago,0,36-45,0.073619632,0.547239264,0.564417178,Productivity User
47,24,Male,6.27,4.36,29,4.69,2.12,0.39,Phoenix,1,18-25,0.74800638,0.062200957,0.338118022,Social User
48,25,Female,7.77,9.77,12,0.91,1.71,1.65,Houston,0,18-25,0.117117117,0.212355212,0.22007722,Productivity User
49,52,Male,4.62,4.86,5,3.11,4.81,1.24,Houston,0,46+,0.673160173,0.268398268,1.041125541,Productivity User
50,31,Female,6.17,10.34,21,1.11,2.22,4.94,Houston,0,26-35,0.179902755,0.800648298,0.359805511,Gamer
51,34,Male,9.19,13.4,5,1.54,2.45,1.95,Houston,0,26-35,0.167573449,0.21218716,0.266594124,Productivity User
52,53,Female,10.59,10.38,24,2.73,1.76,3.66,Chicago,1,46+,0.257790368,0.345609065,0.166194523,Gamer
53,57,Male,5.77,12.22,16,2.09,4.55,3.42,Phoenix,0,46+,0.362218371,0.592720971,0.788561525,Productivity User
54,21,Female,1.48,1.03,10,0.8,2.84,1.06,Phoenix,1,18-25,0.540540541,0.716216216,1.918918919,Productivity User
55,19,Male,2.78,10.33,29,0.85,3.81,1.19,New York,0,18-25,0.305755396,0.428057554,1.370503597,Productivity User
56,23,Female,1.23,11.78,25,2.09,4.06,1.41,Houston,0,18-25,1.699186992,1.146341463,3.300813008,Productivity User
57,59,Male,8.19,1.53,6,3.79,1.71,2.06,Houston,1,46+,0.462759463,0.251526252,0.208791209,Social User
58,21,Female,4.66,12.33,29,4.49,2.17,1.17,New York,0,18-25,0.963519313,0.251072961,0.465665236,Social User
59,46,Male,6.97,4.34,22,0.42,4.24,0.1,Phoenix,1,46+,0.06025825,0.014347202,0.608321377,Productivity User
60,35,Male,6.43,9.65,13,1.97,1.82,4.4,Los Angeles,0,26-35,0.306376361,0.684292379,0.283048212,Gamer
61,43,Female,1.9,11.4,28,0.5,3.97,4.83,Los Angeles,0,36-45,0.263157895,2.542105263,2.089473684,Gamer
62,51,Female,5.44,9.61,13,0.08,4.7,1.71,Phoenix,0,46+,0.014705882,0.314338235,0.863970588,Productivity User
63,27,Male,3.43,2.2,29,3.31,3.12,1.69,Houston,1,26-35,0.965014577,0.49271137,0.909620991,Social User
64,53,Female,5.6,8.75,13,3.01,3.71,0.04,Los Angeles,0,46+,0.5375,0.007142857,0.6625,Productivity User
65,31,Male,3.24,8.14,4,0.82,4.03,3.4,Chicago,0,26-35,0.25308642,1.049382716,1.24382716,Productivity User
66,48,Male,10.24,12.7,19,1.17,4.23,4.13,Chicago,0,46+,0.114257813,0.403320313,0.413085938,Productivity User
67,32,Male,2.92,6.26,11,0.12,1.98,0.73,New York,0,26-35,0.04109589,0.25,0.678082192,Productivity User
68,25,Female,11.57,5.17,4,4.17,0.26,0.8,Phoenix,1,18-25,0.360414866,0.069144339,0.02247191,Social User
69,31,Male,5.57,10.75,26,4.87,2.01,3.95,Phoenix,0,26-35,0.87432675,0.709156194,0.360861759,Social User
70,40,Male,10.31,6.36,17,0.68,3.37,3.08,Los Angeles,1,36-45,0.065955383,0.298739088,0.326867119,Productivity User
71,57,Female,7.92,9.4,18,1.16,2.25,0.22,Houston,0,46+,0.146464646,0.027777778,0.284090909,Productivity User
72,38,Female,9.09,9.4,27,4.34,3.74,3.11,Phoenix,0,36-45,0.477447745,0.342134213,0.411441144,Social User
73,33,Female,9.44,12.54,6,4.63,1.78,1.54,Los Angeles,0,26-35,0.490466102,0.163135593,0.188559322,Social User
74,35,Female,6.55,8.78,10,2.1,3.17,1.84,Los Angeles,0,26-35,0.320610687,0.280916031,0.483969466,Productivity User
75,41,Male,6.98,7.53,11,0.25,0.93,3.85,Phoenix,0,36-45,0.035816619,0.551575931,0.133237822,Gamer
76,43,Male,6.65,2.81,28,0.2,3.75,4.05,Los Angeles,1,36-45,0.030075188,0.609022556,0.563909774,Gamer
